COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
6000036,5,12/06/2011 00,13/06/2011 00,15,ug/m3
6000036,5,13/06/2011 00,14/06/2011 00,17,ug/m3
6000036,5,14/06/2011 00,15/06/2011 00,19,ug/m3
6000036,5,15/06/2011 00,16/06/2011 00,13,ug/m3
6000036,5,16/06/2011 00,17/06/2011 00,9,ug/m3
6000036,5,17/06/2011 00,18/06/2011 00,8,ug/m3
6000036,5,18/06/2011 00,19/06/2011 00,11,ug/m3
6000036,5,19/06/2011 00,20/06/2011 00,13,ug/m3
6000036,5,20/06/2011 00,21/06/2011 00,16,ug/m3
6000036,5,22/06/2011 00,23/06/2011 00,11,ug/m3
6000036,5,23/06/2011 00,24/06/2011 00,11,ug/m3
6000036,5,24/06/2011 00,25/06/2011 00,18,ug/m3
6000036,5,25/06/2011 00,26/06/2011 00,9,ug/m3
6000036,5,26/06/2011 00,27/06/2011 00,11,ug/m3
6000036,5,27/06/2011 00,28/06/2011 00,17,ug/m3
6000036,5,28/06/2011 00,29/06/2011 00,17,ug/m3
6000036,5,29/06/2011 00,30/06/2011 00,19,ug/m3
6000036,5,30/06/2011 00,01/07/2011 00,16,ug/m3
6000036,5,01/07/2011 00,02/07/2011 00,7,ug/m3
6000036,5,02/07/2011 00,03/07/2011 00,6,ug/m3
6000036,5,03/07/2011 00,04/07/2011 00,6,ug/m3
6000036,5,04/07/2011 00,05/07/2011 00,15,ug/m3
6000036,5,05/07/2011 00,06/07/2011 00,11,ug/m3
6000036,5,06/07/2011 00,07/07/2011 00,14,ug/m3
6000036,5,07/07/2011 00,08/07/2011 00,14,ug/m3
6000036,5,08/07/2011 00,09/07/2011 00,13,ug/m3
6000036,5,09/07/2011 00,10/07/2011 00,16,ug/m3
6000036,5,10/07/2011 00,11/07/2011 00,16,ug/m3
6000036,5,11/07/2011 00,12/07/2011 00,24,ug/m3
6000036,5,12/07/2011 00,13/07/2011 00,22,ug/m3
6000036,5,13/07/2011 00,14/07/2011 00,26,ug/m3
6000036,5,14/07/2011 00,15/07/2011 00,20,ug/m3
6000036,5,15/07/2011 00,16/07/2011 00,15,ug/m3
6000036,5,16/07/2011 00,17/07/2011 00,11,ug/m3
6000036,5,17/07/2011 00,18/07/2011 00,11,ug/m3
6000036,5,18/07/2011 00,19/07/2011 00,16,ug/m3
6000036,5,19/07/2011 00,20/07/2011 00,8,ug/m3
6000036,5,20/07/2011 00,21/07/2011 00,8,ug/m3
6000036,5,21/07/2011 00,22/07/2011 00,6,ug/m3
6000036,5,22/07/2011 00,23/07/2011 00,7,ug/m3
6000036,5,23/07/2011 00,24/07/2011 00,9,ug/m3
6000036,5,24/07/2011 00,25/07/2011 00,3,ug/m3
6000036,5,25/07/2011 00,26/07/2011 00,1,ug/m3
6000036,5,28/07/2011 00,29/07/2011 00,6,ug/m3
6000036,5,30/07/2011 00,31/07/2011 00,7,ug/m3
6000036,5,31/07/2011 00,01/08/2011 00,8,ug/m3
6000036,5,01/08/2011 00,02/08/2011 00,12,ug/m3
6000036,5,04/08/2011 00,05/08/2011 00,14,ug/m3
6000036,5,05/08/2011 00,06/08/2011 00,17,ug/m3
6000036,5,06/08/2011 00,07/08/2011 00,18,ug/m3
6000036,5,07/08/2011 00,08/08/2011 00,11,ug/m3
6000036,5,08/08/2011 00,09/08/2011 00,11,ug/m3
6000036,5,09/08/2011 00,10/08/2011 00,9,ug/m3
6000036,5,10/08/2011 00,11/08/2011 00,7,ug/m3
6000036,5,11/08/2011 00,12/08/2011 00,7,ug/m3
6000036,5,12/08/2011 00,13/08/2011 00,10,ug/m3
6000036,5,13/08/2011 00,14/08/2011 00,13,ug/m3
6000036,5,14/08/2011 00,15/08/2011 00,15,ug/m3
6000036,5,15/08/2011 00,16/08/2011 00,12,ug/m3
6000036,5,16/08/2011 00,17/08/2011 00,13,ug/m3
6000036,5,17/08/2011 00,18/08/2011 00,12,ug/m3
6000036,5,18/08/2011 00,19/08/2011 00,12,ug/m3
6000036,5,19/08/2011 00,20/08/2011 00,14,ug/m3
6000036,5,20/08/2011 00,21/08/2011 00,22,ug/m3
6000036,5,21/08/2011 00,22/08/2011 00,21,ug/m3
6000036,5,22/08/2011 00,23/08/2011 00,16,ug/m3
6000036,5,23/08/2011 00,24/08/2011 00,21,ug/m3
6000036,5,24/08/2011 00,25/08/2011 00,17,ug/m3
6000036,5,25/08/2011 00,26/08/2011 00,15,ug/m3
6000036,5,26/08/2011 00,27/08/2011 00,19,ug/m3
6000036,5,27/08/2011 00,28/08/2011 00,13,ug/m3
6000036,5,28/08/2011 00,29/08/2011 00,12,ug/m3
6000036,5,29/08/2011 00,30/08/2011 00,16,ug/m3
6000036,5,30/08/2011 00,31/08/2011 00,12,ug/m3
6000036,5,31/08/2011 00,01/09/2011 00,16,ug/m3
6000036,5,01/09/2011 00,02/09/2011 00,15,ug/m3
6000036,5,02/09/2011 00,03/09/2011 00,20,ug/m3
6000036,5,03/09/2011 00,04/09/2011 00,24,ug/m3
6000036,5,04/09/2011 00,05/09/2011 00,33,ug/m3
6000036,5,05/09/2011 00,06/09/2011 00,6,ug/m3
6000036,5,06/09/2011 00,07/09/2011 00,12,ug/m3
6000036,5,07/09/2011 00,08/09/2011 00,8,ug/m3
6000036,5,08/09/2011 00,09/09/2011 00,16,ug/m3
6000036,5,09/09/2011 00,10/09/2011 00,13,ug/m3
6000036,5,10/09/2011 00,11/09/2011 00,18,ug/m3
6000036,5,11/09/2011 00,12/09/2011 00,12,ug/m3
6000036,5,12/09/2011 00,13/09/2011 00,14,ug/m3
6000036,5,13/09/2011 00,14/09/2011 00,22,ug/m3
6000036,5,14/09/2011 00,15/09/2011 00,17,ug/m3
6000036,5,15/09/2011 00,16/09/2011 00,17,ug/m3
6000036,5,16/09/2011 00,17/09/2011 00,16,ug/m3
6000036,5,17/09/2011 00,18/09/2011 00,12,ug/m3
6000036,5,18/09/2011 00,19/09/2011 00,10,ug/m3
6000036,5,19/09/2011 00,20/09/2011 00,5,ug/m3
6000036,5,20/09/2011 00,21/09/2011 00,5,ug/m3
6000036,5,21/09/2011 00,22/09/2011 00,14,ug/m3
6000036,5,22/09/2011 00,23/09/2011 00,31,ug/m3
6000036,5,23/09/2011 00,24/09/2011 00,31,ug/m3
6000036,5,24/09/2011 00,25/09/2011 00,25,ug/m3
6000036,5,25/09/2011 00,26/09/2011 00,22,ug/m3
6000036,5,26/09/2011 00,27/09/2011 00,11,ug/m3
6000036,5,27/09/2011 00,28/09/2011 00,32,ug/m3
6000036,5,28/09/2011 00,29/09/2011 00,38,ug/m3
6000036,5,29/09/2011 00,30/09/2011 00,23,ug/m3
6000036,5,30/09/2011 00,01/10/2011 00,14,ug/m3
6000036,5,01/10/2011 00,02/10/2011 00,16,ug/m3
6000036,5,02/10/2011 00,03/10/2011 00,15,ug/m3
6000036,5,03/10/2011 00,04/10/2011 00,8,ug/m3
6000036,5,05/10/2011 00,06/10/2011 00,17,ug/m3
6000036,5,06/10/2011 00,07/10/2011 00,9,ug/m3
6000036,5,07/10/2011 00,08/10/2011 00,4,ug/m3
6000036,5,08/10/2011 00,09/10/2011 00,2,ug/m3
6000036,5,09/10/2011 00,10/10/2011 00,5,ug/m3
6000036,5,10/10/2011 00,11/10/2011 00,6,ug/m3
6000036,5,11/10/2011 00,12/10/2011 00,17,ug/m3
6000036,5,12/10/2011 00,13/10/2011 00,13,ug/m3
6000036,5,13/10/2011 00,14/10/2011 00,18,ug/m3
6000036,5,14/10/2011 00,15/10/2011 00,5,ug/m3
6000036,5,15/10/2011 00,16/10/2011 00,10,ug/m3
6000036,5,16/10/2011 00,17/10/2011 00,12,ug/m3
6000036,5,17/10/2011 00,18/10/2011 00,12,ug/m3
6000036,5,18/10/2011 00,19/10/2011 00,21,ug/m3
6000036,5,19/10/2011 00,20/10/2011 00,9,ug/m3
6000036,5,20/10/2011 00,21/10/2011 00,6,ug/m3
6000036,5,21/10/2011 00,22/10/2011 00,7,ug/m3
6000036,5,22/10/2011 00,23/10/2011 00,13,ug/m3
6000036,5,23/10/2011 00,24/10/2011 00,16,ug/m3
6000036,5,24/10/2011 00,25/10/2011 00,18,ug/m3
6000036,5,25/10/2011 00,26/10/2011 00,11,ug/m3
6000036,5,26/10/2011 00,27/10/2011 00,6,ug/m3
6000036,5,27/10/2011 00,28/10/2011 00,6,ug/m3
6000036,5,28/10/2011 00,29/10/2011 00,20,ug/m3
6000036,5,29/10/2011 00,30/10/2011 00,16,ug/m3
6000036,5,30/10/2011 00,31/10/2011 00,21,ug/m3
6000036,5,31/10/2011 00,01/11/2011 00,35,ug/m3
6000036,5,01/11/2011 00,02/11/2011 00,40,ug/m3
6000036,5,02/11/2011 00,03/11/2011 00,39,ug/m3
6000036,5,03/11/2011 00,04/11/2011 00,25,ug/m3
6000036,5,04/11/2011 00,05/11/2011 00,13,ug/m3
6000036,5,05/11/2011 00,06/11/2011 00,9,ug/m3
6000036,5,06/11/2011 00,07/11/2011 00,10,ug/m3
6000036,5,07/11/2011 00,08/11/2011 00,4,ug/m3
6000036,5,08/11/2011 00,09/11/2011 00,14,ug/m3
6000036,5,09/11/2011 00,10/11/2011 00,27,ug/m3
6000036,5,10/11/2011 00,11/11/2011 00,25,ug/m3
6000036,5,11/11/2011 00,12/11/2011 00,16,ug/m3
6000036,5,12/11/2011 00,13/11/2011 00,25,ug/m3
6000036,5,13/11/2011 00,14/11/2011 00,30,ug/m3
6000036,5,14/11/2011 00,15/11/2011 00,25,ug/m3
6000036,5,15/11/2011 00,16/11/2011 00,14,ug/m3
6000036,5,16/11/2011 00,17/11/2011 00,22,ug/m3
6000036,5,17/11/2011 00,18/11/2011 00,25,ug/m3
6000036,5,18/11/2011 00,19/11/2011 00,31,ug/m3
6000036,5,19/11/2011 00,20/11/2011 00,18,ug/m3
6000036,5,20/11/2011 00,21/11/2011 00,34,ug/m3
6000036,5,21/11/2011 00,22/11/2011 00,29,ug/m3
6000036,5,22/11/2011 00,23/11/2011 00,11,ug/m3
6000036,5,23/11/2011 00,24/11/2011 00,23,ug/m3
6000036,5,24/11/2011 00,25/11/2011 00,33,ug/m3
6000036,5,25/11/2011 00,26/11/2011 00,26,ug/m3
6000036,5,26/11/2011 00,27/11/2011 00,21,ug/m3
6000036,5,27/11/2011 00,28/11/2011 00,11,ug/m3
6000036,5,28/11/2011 00,29/11/2011 00,20,ug/m3
6000036,5,29/11/2011 00,30/11/2011 00,35,ug/m3
6000036,5,30/11/2011 00,01/12/2011 00,37,ug/m3
6000036,5,01/12/2011 00,02/12/2011 00,15,ug/m3
6000036,5,02/12/2011 00,03/12/2011 00,12,ug/m3
6000036,5,03/12/2011 00,04/12/2011 00,7,ug/m3
6000036,5,04/12/2011 00,05/12/2011 00,2,ug/m3
6000036,5,05/12/2011 00,06/12/2011 00,1,ug/m3
6000036,5,06/12/2011 00,07/12/2011 00,18,ug/m3
6000036,5,07/12/2011 00,08/12/2011 00,6,ug/m3
6000036,5,08/12/2011 00,09/12/2011 00,10,ug/m3
6000036,5,09/12/2011 00,10/12/2011 00,11,ug/m3
6000036,5,10/12/2011 00,11/12/2011 00,8,ug/m3
6000036,5,11/12/2011 00,12/12/2011 00,6,ug/m3
6000036,5,12/12/2011 00,13/12/2011 00,5,ug/m3
6000036,5,13/12/2011 00,14/12/2011 00,9,ug/m3
6000036,5,14/12/2011 00,15/12/2011 00,9,ug/m3
6000036,5,16/12/2011 00,17/12/2011 00,2,ug/m3
6000036,5,17/12/2011 00,18/12/2011 00,1,ug/m3
6000036,5,18/12/2011 00,19/12/2011 00,6,ug/m3
6000036,5,19/12/2011 00,20/12/2011 00,10,ug/m3
6000036,5,20/12/2011 00,21/12/2011 00,10,ug/m3
6000036,5,21/12/2011 00,22/12/2011 00,11,ug/m3
6000036,5,22/12/2011 00,23/12/2011 00,14,ug/m3
6000036,5,23/12/2011 00,24/12/2011 00,10,ug/m3
6000036,5,24/12/2011 00,25/12/2011 00,11,ug/m3
6000036,5,25/12/2011 00,26/12/2011 00,24,ug/m3
6000036,5,26/12/2011 00,27/12/2011 00,14,ug/m3
6000036,5,27/12/2011 00,28/12/2011 00,16,ug/m3
6000036,5,28/12/2011 00,29/12/2011 00,5,ug/m3
6000036,5,29/12/2011 00,30/12/2011 00,15,ug/m3
6000036,5,30/12/2011 00,31/12/2011 00,11,ug/m3
6000036,5,31/12/2011 00,01/01/2012 00,6,ug/m3
